board_id,humidity,temperature,soil_moisture,timestamp
1,50,35,187,02-06-2023 20:02
,,,,
1,50,35,187,02-06-2023 20:02
,,,,
1,50,35,187,02-06-2023 20:02
,,,,
1,50,35,187,02-06-2023 20:03
,,,,
1,50,35,187,02-06-2023 20:03
,,,,
1,50,35,187,02-06-2023 20:03
,,,,
1,50,35,187,02-06-2023 20:03
,,,,
1,50,35,187,02-06-2023 20:04
,,,,
1,50,35,187,02-06-2023 20:04
,,,,
1,50,35,187,02-06-2023 20:04
,,,,
1,50,35,187,02-06-2023 20:04
,,,,
1,50,35,187,02-06-2023 20:05
,,,,
1,50,35,187,02-06-2023 20:05
,,,,
1,50,35,187,02-06-2023 20:05
,,,,
1,50,35,187,02-06-2023 20:05
,,,,
1,50,35,187,02-06-2023 20:06
,,,,
1,50,35,187,02-06-2023 20:06
,,,,
1,50,35,187,02-06-2023 20:06
,,,,
1,50,35,187,02-06-2023 20:06
,,,,
1,50,35,187,02-06-2023 20:07
,,,,
1,50,35,187,02-06-2023 20:07
,,,,
1,50,35,187,02-06-2023 20:07
,,,,
1,50,35,187,02-06-2023 20:07
,,,,
1,50,35,187,02-06-2023 20:08
,,,,
1,50,35,187,02-06-2023 20:08
,,,,
1,50,35,187,02-06-2023 20:08
,,,,
,,,,
,,,,
,,,,
1,50,35,187,02-06-2023 20:09
,,,,
1,50,35,187,02-06-2023 20:09
,,,,
1,50,35,187,02-06-2023 20:09
,,,,
1,50,35,187,02-06-2023 20:09
,,,,
1,50,35,187,02-06-2023 20:10
,,,,
1,50,35,187,02-06-2023 20:10
,,,,
1,51,35,187,02-06-2023 20:10
,,,,
1,51,35,187,02-06-2023 20:10
,,,,
1,50,35,187,02-06-2023 20:11
,,,,
1,50,35,187,02-06-2023 20:11
,,,,
1,50,35,187,02-06-2023 20:11
,,,,
1,50,35,187,02-06-2023 20:11
,,,,
1,50,35,187,02-06-2023 20:12
,,,,
1,50,35,187,02-06-2023 20:12
,,,,
1,50,35,187,02-06-2023 20:12
,,,,
1,51,35,187,02-06-2023 20:12
,,,,
1,51,35,187,02-06-2023 20:13
,,,,
1,51,35,187,02-06-2023 20:13
,,,,
1,51,35,187,02-06-2023 20:13
,,,,
1,50,35,187,02-06-2023 20:13
,,,,
1,51,35,187,02-06-2023 20:14
,,,,
1,50,35,187,02-06-2023 20:14
,,,,
1,51,35,187,02-06-2023 20:14
,,,,
1,51,35,187,02-06-2023 20:14
,,,,
1,51,35,187,02-06-2023 20:15
,,,,
1,51,35,187,02-06-2023 20:15
,,,,
1,51,35,187,02-06-2023 20:15
,,,,
1,51,35,187,02-06-2023 20:15
,,,,
1,51,35,187,02-06-2023 20:16
,,,,
1,51,35,187,02-06-2023 20:16
,,,,
1,51,35,187,02-06-2023 20:16
,,,,
1,51,35,187,02-06-2023 20:16
,,,,
1,51,35,187,02-06-2023 20:17
,,,,
1,51,35,187,02-06-2023 20:17
,,,,
1,51,35,187,02-06-2023 20:17
,,,,
1,51,35,187,02-06-2023 20:17
,,,,
1,51,35,187,02-06-2023 20:18
,,,,
1,51,35,187,02-06-2023 20:18
,,,,
1,51,35,187,02-06-2023 20:18
,,,,
1,51,35,187,02-06-2023 20:18
,,,,
1,51,35,187,02-06-2023 20:19
,,,,
1,51,35,187,02-06-2023 20:19
,,,,
1,51,35,187,02-06-2023 20:19
,,,,
1,51,35,187,02-06-2023 20:19
1,51,35,187,02-06-2023 20:20
1,51,35,187,02-06-2023 20:20
