board_id,humidity,temperature,soil_moisture,timestamp
1,57,57,187,28-05-2023 17:38
1,43,43,186,28-05-2023 17:39
1,43,43,184,28-05-2023 17:40
1,43,43,185,28-05-2023 17:41
2,44,64,175,28-05-2023 17:38
2,37,43,176,28-05-2023 17:39
2,38,75,173,28-05-2023 17:40
2,39,32,175,28-05-2023 17:41
3,55,52,165,28-05-2023 17:38
3,57,72,168,28-05-2023 17:39
3,53,35,169,28-05-2023 17:40
3,51,36,175,28-05-2023 17:41
1,53,34,187,02-06-2023 19:44
1,53,34,187,02-06-2023 19:44
,,,,
1,53,34,187,02-06-2023 19:44
,,,,
1,53,34,187,02-06-2023 19:45
,,,,
1,53,34,187,02-06-2023 19:45
,,,,
1,53,34,187,02-06-2023 19:45
,,,,
1,53,34,187,02-06-2023 19:45
,,,,
1,53,34,187,02-06-2023 19:46
,,,,
1,53,34,187,02-06-2023 19:46
,,,,
1,53,34,187,02-06-2023 19:46
,,,,
1,53,34,187,02-06-2023 19:46
,,,,
1,53,34,187,02-06-2023 19:47
,,,,
1,53,34,187,02-06-2023 19:47
,,,,
1,53,34,187,02-06-2023 19:47
,,,,
1,53,34,187,02-06-2023 19:47
,,,,
1,53,34,187,02-06-2023 19:48
,,,,
1,53,34,187,02-06-2023 19:48
,,,,
1,53,34,187,02-06-2023 19:48
,,,,
1,53,34,187,02-06-2023 19:48
,,,,
1,53,34,187,02-06-2023 19:49
,,,,
1,53,34,187,02-06-2023 19:49
,,,,
1,53,34,187,02-06-2023 19:49
,,,,
1,53,34,187,02-06-2023 19:49
,,,,
1,53,34,187,02-06-2023 19:50
,,,,
1,53,34,187,02-06-2023 19:50
,,,,
1,53,34,187,02-06-2023 19:50
,,,,
1,53,34,187,02-06-2023 19:50
,,,,
1,54,34,187,02-06-2023 19:51
,,,,
1,54,34,187,02-06-2023 19:51
,,,,
1,54,34,187,02-06-2023 19:51
,,,,
1,54,34,187,02-06-2023 19:51
,,,,
1,54,34,187,02-06-2023 19:52
,,,,
1,54,34,187,02-06-2023 19:52
,,,,
1,53,34,187,02-06-2023 19:52
,,,,
1,53,34,187,02-06-2023 19:52
,,,,
1,53,34,187,02-06-2023 19:53
,,,,
1,53,34,187,02-06-2023 19:53
,,,,
1,53,34,187,02-06-2023 19:53
,,,,
1,53,34,187,02-06-2023 19:53
,,,,
1,53,34,187,02-06-2023 19:54
,,,,
1,52,34,187,02-06-2023 19:54
,,,,
1,52,34,187,02-06-2023 19:54
,,,,
1,52,34,187,02-06-2023 19:54
,,,,
1,52,34,187,02-06-2023 19:55
,,,,
1,52,34,187,02-06-2023 19:55
,,,,
1,52,34,187,02-06-2023 19:55
,,,,
1,52,34,187,02-06-2023 19:55
,,,,
1,51,34,187,02-06-2023 19:56
,,,,
1,51,34,187,02-06-2023 19:56
,,,,
1,50,35,187,02-06-2023 19:56
,,,,
1,50,35,187,02-06-2023 19:56
,,,,
1,50,35,187,02-06-2023 19:57
,,,,
1,50,35,187,02-06-2023 19:57
,,,,
1,50,35,187,02-06-2023 19:57
,,,,
1,50,35,187,02-06-2023 19:57
,,,,
1,50,35,187,02-06-2023 19:58
,,,,
1,50,35,187,02-06-2023 19:58
,,,,
1,50,35,187,02-06-2023 19:58
,,,,
1,50,35,187,02-06-2023 19:58
,,,,
1,50,35,187,02-06-2023 19:59
,,,,
1,50,35,187,02-06-2023 19:59
,,,,
1,50,35,187,02-06-2023 19:59
,,,,
1,50,35,187,02-06-2023 19:59
,,,,
1,50,35,187,02-06-2023 20:00
,,,,
1,50,35,187,02-06-2023 20:00
,,,,
1,50,35,187,02-06-2023 20:00
,,,,
1,50,35,187,02-06-2023 20:00
,,,,
1,50,35,187,02-06-2023 20:01
,,,,
1,50,35,187,02-06-2023 20:01
,,,,
1,50,35,187,02-06-2023 20:01
,,,,
1,50,35,187,02-06-2023 20:01
,,,,
1,50,35,187,02-06-2023 20:02
,,,,
